2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2024-01-09|09:22:10|wireless keyboard|Amazon|-74.99
2024-01-10|14:35:25|Invoice 1875 paid|NovaTech Systems|1550.00
2024-02-06|10:18:30|monthly software subscription|Canva|-12.99
2024-02-07|16:05:40|Invoice 1882 paid|Skyline Partners|1650.00
2024-03-04|08:42:55|office supplies|Staples|-49.20
2024-03-06|13:12:40|Invoice 1893 paid|Driftwood Media|1780.00
2024-04-11|10:50:15|ergonomic mouse|Best Buy|-59.99
2024-04-13|15:45:20|Invoice 1902 paid|Riverstone Design|1320.00
2024-05-05|09:35:05|cloud storage renewal|Dropbox|-24.99
2024-05-06|12:25:50|Invoice 1910 paid|BrightLeaf Agency|2200.00
2024-06-08|10:05:35|coworking rent|WeWork|-340.00
2024-06-09|14:15:00|Invoice 1923 paid|Blue Horizon|2500.00
2024-07-12|09:55:42|team lunch|Chipotle|-64.75
2024-07-13|16:02:10|Invoice 1931 paid|Silverline Studios|1750.00
2024-08-03|08:45:33|web hosting|HostGator|-119.00
2024-08-04|15:28:40|Invoice 1938 paid|Greenlight Marketing|2100.00
2024-09-15|11:40:12|office chair|IKEA|-189.99
2024-09-16|17:32:00|Invoice 1947 paid|Cobalt Consulting|1800.00
2024-10-10|09:20:40|coffee & pastries|Starbucks|-18.60
2024-10-11|12:40:35|Invoice 1953 paid|Evergreen Studios|1450.00
2024-11-07|10:18:20|monthly phone bill|Verizon|-89.00
2024-11-08|13:25:55|Invoice 1961 paid|TechWave Solutions|1900.00
2024-12-05|09:55:10|holiday gift cards|Target|-120.00
2024-12-06|15:10:40|Invoice 1968 paid|NorthPoint Media|2100.00
2025-01-10|09:15:20|laptop stand|Amazon|-59.99
2025-01-12|13:42:55|Invoice 1981 paid|Orion Tech|1400.00
2025-02-05|10:20:35|monthly software subscription|Adobe|-54.99
2025-02-06|16:10:00|Invoice 1987 paid|NorthPoint Media|1600.00
2025-03-08|09:45:22|office printer ink|Staples|-72.15
2025-03-09|15:32:40|Invoice 1994 paid|Skyline Graphics|1950.00
2025-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2025-04-15|11:15:00|Invoice 2001 paid|Joe|1500.00
2025-05-04|08:55:10|domain renewal|GoDaddy|-16.99
2025-05-05|14:45:00|project milestone payment|Fusion Digital|2100.00
2025-06-11|09:12:50|coworking space rent|WeWork|-350.00
2025-06-13|17:20:45|Invoice 2015 paid|Apex Ventures|2400.00
2025-07-07|11:30:12|team lunch|Olive Garden|-68.40
2025-07-08|15:05:22|Invoice 2024 paid|Silverline Studios|1750.00
2025-08-03|10:18:35|web hosting renewal|HostGator|-119.00
2025-08-04|16:32:40|Invoice 2031 paid|Horizon Labs|2000.00
2025-09-20|10:05:45|ergonomic office chair|IKEA|-189.99
2025-09-21|14:32:10|Invoice 2039 paid|Sunrise Design Co|1750.00
2025-10-12|11:42:05|Invoice 2045 paid|Bluewave Media|1800.00
2025-10-15|12:40:27|consulting fee received|Alex Rivera|700.00
